aspect,category,term,count,rank
"Methods or actions of Suicide, Self Harm or harming others",Addiction,prescription,1,1
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,dog,1,1
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,jerk,1,2
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,my,1,3
"Methods or actions of Suicide, Self Harm or harming others",Animal Abuse,off,1,4
"Methods or actions of Suicide, Self Harm or harming others",Arson,arson,2,1
"Methods or actions of Suicide, Self Harm or harming others",Arson,commit,1,2
"Methods or actions of Suicide, Self Harm or harming others",Arson,committ,1,3
"Methods or actions of Suicide, Self Harm or harming others",Assault,of,3,1
"Methods or actions of Suicide, Self Harm or harming others",Assault,them,3,2
"Methods or actions of Suicide, Self Harm or harming others",Assault,beat,2,3
"Methods or actions of Suicide, Self Harm or harming others",Assault,fuck,2,4
"Methods or actions of Suicide, Self Harm or harming others",Assault,out,2,5
"Methods or actions of Suicide, Self Harm or harming others",Assault,the,2,6
"Methods or actions of Suicide, Self Harm or harming others",Assault,all,1,7
"Methods or actions of Suicide, Self Harm or harming others",Assault,amount,1,8
"Methods or actions of Suicide, Self Harm or harming others",Assault,anti,1,9
"Methods or actions of Suicide, Self Harm or harming others",Assault,ing,1,10
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,do,1,1
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,for,1,2
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,have,1,3
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,me,1,4
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,pay,1,5
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,someone,1,6
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,thi,1,7
"Methods or actions of Suicide, Self Harm or harming others",Assisted Suicide,to,1,8
"Methods or actions of Suicide, Self Harm or harming others",Biting,my,29,1
"Methods or actions of Suicide, Self Harm or harming others",Biting,bit,26,2
"Methods or actions of Suicide, Self Harm or harming others",Biting,bite,15,3
"Methods or actions of Suicide, Self Harm or harming others",Biting,the,10,4
"Methods or actions of Suicide, Self Harm or harming others",Biting,of,8,5
"Methods or actions of Suicide, Self Harm or harming others",Biting,arm,6,6
"Methods or actions of Suicide, Self Harm or harming others",Biting,myself,6,7
"Methods or actions of Suicide, Self Harm or harming others",Biting,skin,6,8
"Methods or actions of Suicide, Self Harm or harming others",Biting,and,5,9
"Methods or actions of Suicide, Self Harm or harming others",Biting,off,5,10
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,handle,6,1
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,cock,2,2
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,crush,2,3
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,ball,1,4
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,broomstick,1,5
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,by,1,6
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,et,1,7
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,fish,1,8
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,head,1,9
"Methods or actions of Suicide, Self Harm or harming others",Blunt Force Trauma,hockey,1,10
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,head,3,1
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,alcohol,1,2
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,bash,1,3
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,bloody,1,4
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,build,1,5
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,drop,1,6
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,into,1,7
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,jump,1,8
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,my,1,9
"Methods or actions of Suicide, Self Harm or harming others",Blunt force trauma,off,1,10
"Methods or actions of Suicide, Self Harm or harming others",Bombing,bomber,1,1
"Methods or actions of Suicide, Self Harm or harming others",Bombing,plane,1,2
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,my,13,1
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,break,9,2
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,bone,6,3
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,broke,5,4
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,in,5,5
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,and,4,6
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,head,4,7
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,myself,4,8
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,of,4,9
"Methods or actions of Suicide, Self Harm or harming others",Bone Breaking,the,4,10
"Methods or actions of Suicide, Self Harm or harming others",Burning,burn,147,1
"Methods or actions of Suicide, Self Harm or harming others",Burning,my,82,2
"Methods or actions of Suicide, Self Harm or harming others",Burning,myself,63,3
"Methods or actions of Suicide, Self Harm or harming others",Burning,on,49,4
"Methods or actions of Suicide, Self Harm or harming others",Burning,fire,42,5
"Methods or actions of Suicide, Self Harm or harming others",Burning,and,37,6
"Methods or actions of Suicide, Self Harm or harming others",Burning,the,33,7
"Methods or actions of Suicide, Self Harm or harming others",Burning,cut,28,8
"Methods or actions of Suicide, Self Harm or harming others",Burning,with,26,9
"Methods or actions of Suicide, Self Harm or harming others",Burning,cutt,22,10
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,bleach,7,1
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,my,5,2
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,on,4,3
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,with,4,4
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,acid,3,5
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,as,3,6
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,lube,3,7
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,and,2,8
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,arrow,2,9
"Methods or actions of Suicide, Self Harm or harming others",Chemical Burns,bow,2,10
"Methods or actions of Suicide, Self Harm or harming others",Choking,me,4,1
"Methods or actions of Suicide, Self Harm or harming others",Choking,and,1,2
"Methods or actions of Suicide, Self Harm or harming others",Choking,around,1,3
"Methods or actions of Suicide, Self Harm or harming others",Choking,by,1,4
"Methods or actions of Suicide, Self Harm or harming others",Choking,chok,1,5
"Methods or actions of Suicide, Self Harm or harming others",Choking,choke,1,6
"Methods or actions of Suicide, Self Harm or harming others",Choking,drag,1,7
"Methods or actions of Suicide, Self Harm or harming others",Choking,grab,1,8
"Methods or actions of Suicide, Self Harm or harming others",Choking,neck,1,9
"Methods or actions of Suicide, Self Harm or harming others",Choking,the,1,10
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,my,1456,1
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,cut,1307,2
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,myself,1075,3
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,cutt,812,4
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,wrist,694,5
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,knife,448,6
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,and,307,7
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,the,279,8
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,slit,262,9
"Methods or actions of Suicide, Self Harm or harming others",Cutting and Scratching,arm,241,10
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,drink,24,1
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,dehydration,23,2
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,and,20,3
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,eat,19,4
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,myself,17,5
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,water,14,6
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,or,11,7
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,for,10,8
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,not,10,9
"Methods or actions of Suicide, Self Harm or harming others",Dehydration,dehydrate,8,10
"Methods or actions of Suicide, Self Harm or harming others",Deliberate food deprivation,anymore,1,1
"Methods or actions of Suicide, Self Harm or harming others",Deliberate food deprivation,anyth,1,2
"Methods or actions of Suicide, Self Harm or harming others",Deliberate food deprivation,can,1,3
"Methods or actions of Suicide, Self Harm or harming others",Deliberate food deprivation,eat,1,4
"Methods or actions of Suicide, Self Harm or harming others",Deliberate food deprivation,meal,1,5
"Methods or actions of Suicide, Self Harm or harming others",Deliberate food deprivation,no,1,6
"Methods or actions of Suicide, Self Harm or harming others",Deliberate food deprivation,or,1,7
"Methods or actions of Suicide, Self Harm or harming others",Deprivation,death,1,1
"Methods or actions of Suicide, Self Harm or harming others",Deprivation,starve,1,2
"Methods or actions of Suicide, Self Harm or harming others",Deprivation,to,1,3
"Methods or actions of Suicide, Self Harm or harming others",Drowning,drown,292,1
"Methods or actions of Suicide, Self Harm or harming others",Drowning,myself,171,2
"Methods or actions of Suicide, Self Harm or harming others",Drowning,the,140,3
"Methods or actions of Suicide, Self Harm or harming others",Drowning,in,107,4
"Methods or actions of Suicide, Self Harm or harming others",Drowning,and,74,5
"Methods or actions of Suicide, Self Harm or harming others",Drowning,my,64,6
"Methods or actions of Suicide, Self Harm or harming others",Drowning,into,50,7
"Methods or actions of Suicide, Self Harm or harming others",Drowning,water,50,8
"Methods or actions of Suicide, Self Harm or harming others",Drowning,jump,46,9
"Methods or actions of Suicide, Self Harm or harming others",Drowning,of,45,10
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,disorder,3,1
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,eat,3,2
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,and,2,3
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,anorexia,2,4
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,bulimia,2,5
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,addiction,1,6
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,anorexic,1,7
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,behavior,1,8
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,bulimic,1,9
"Methods or actions of Suicide, Self Harm or harming others",Eating Disorders,drug,1,10
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,the,3,1
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,outlet,2,2
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,charger,1,3
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,electrical,1,4
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,from,1,5
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,fuck,1,6
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,metal,1,7
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,my,1,8
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,of,1,9
"Methods or actions of Suicide, Self Harm or harming others",Electrical Shock,part,1,10
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,480v,1,1
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,an,1,2
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,cabinet,1,3
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,electrocution,1,4
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,feed,1,5
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,in,1,6
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,lug,1,7
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,of,1,8
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,on,1,9
"Methods or actions of Suicide, Self Harm or harming others",Electrical shock,one,1,10
"Methods or actions of Suicide, Self Harm or harming others",Electrocution,bathtub,1,1
"Methods or actions of Suicide, Self Harm or harming others",Electrocution,in,1,2
"Methods or actions of Suicide, Self Harm or harming others",Electrocution,the,1,3
"Methods or actions of Suicide, Self Harm or harming others",Electrocution,toaster,1,4
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,the,3,1
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,and,2,2
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,my,2,3
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,brother,1,4
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,call,1,5
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,chas,1,6
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,closest,1,7
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,dad,1,8
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,down,1,9
"Methods or actions of Suicide, Self Harm or harming others",Emotional Abuse,dragg,1,10
"Methods or actions of Suicide, Self Harm or harming others",Existential Crisis / Hopelessness,dark,1,1
"Methods or actions of Suicide, Self Harm or harming others",Existential Crisis / Hopelessness,empty,1,2
"Methods or actions of Suicide, Self Harm or harming others",Existential Crisis / Hopelessness,void,1,3
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,to,19,1
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,the,17,2
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,death,16,3
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,and,11,4
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,freeze,11,5
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,in,11,6
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,hypothermia,9,7
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,myself,8,8
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,cold,6,9
"Methods or actions of Suicide, Self Harm or harming others",Exposure to Elements,die,6,10
"Methods or actions of Suicide, Self Harm or harming others",Fire,myself,44,1
"Methods or actions of Suicide, Self Harm or harming others",Fire,fire,30,2
"Methods or actions of Suicide, Self Harm or harming others",Fire,on,28,3
"Methods or actions of Suicide, Self Harm or harming others",Fire,and,20,4
"Methods or actions of Suicide, Self Harm or harming others",Fire,burn,19,5
"Methods or actions of Suicide, Self Harm or harming others",Fire,the,19,6
"Methods or actions of Suicide, Self Harm or harming others",Fire,it,15,7
"Methods or actions of Suicide, Self Harm or harming others",Fire,gasoline,13,8
"Methods or actions of Suicide, Self Harm or harming others",Fire,in,13,9
"Methods or actions of Suicide, Self Harm or harming others",Fire,set,13,10
"Methods or actions of Suicide, Self Harm or harming others",Firearms,gun,1430,1
"Methods or actions of Suicide, Self Harm or harming others",Firearms,my,942,2
"Methods or actions of Suicide, Self Harm or harming others",Firearms,the,784,3
"Methods or actions of Suicide, Self Harm or harming others",Firearms,myself,627,4
"Methods or actions of Suicide, Self Harm or harming others",Firearms,head,540,5
"Methods or actions of Suicide, Self Harm or harming others",Firearms,shoot,536,6
"Methods or actions of Suicide, Self Harm or harming others",Firearms,in,411,7
"Methods or actions of Suicide, Self Harm or harming others",Firearms,to,378,8
"Methods or actions of Suicide, Self Harm or harming others",Firearms,and,279,9
"Methods or actions of Suicide, Self Harm or harming others",Firearms,shotgun,262,10
"Methods or actions of Suicide, Self Harm or harming others",From height (building,bridge,1,1
"Methods or actions of Suicide, Self Harm or harming others",From height (building,gorge,1,2
"Methods or actions of Suicide, Self Harm or harming others",From height (building,overlook,1,3
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,the,126,1
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,carbon,115,2
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,monoxide,114,3
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,car,104,4
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,in,87,5
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,helium,78,6
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,gas,76,7
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,my,72,8
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,poison,70,9
"Methods or actions of Suicide, Self Harm or harming others",Gas Poisoning,and,59,10
"Methods or actions of Suicide, Self Harm or harming others",General,kill,2,1
"Methods or actions of Suicide, Self Harm or harming others",General,suicide,2,2
"Methods or actions of Suicide, Self Harm or harming others",General,yourself,2,3
"Methods or actions of Suicide, Self Harm or harming others",General,attempt,1,4
"Methods or actions of Suicide, Self Harm or harming others",General Self-Harm,hurt,3,1
"Methods or actions of Suicide, Self Harm or harming others",General Self-Harm,myself,3,2
"Methods or actions of Suicide, Self Harm or harming others",General Self-Harm Ideation (No Specific Action),herself,1,1
"Methods or actions of Suicide, Self Harm or harming others",General Self-Harm Ideation (No Specific Action),hurt,1,2
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),kill,140,1
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),myself,98,2
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),suicide,58,3
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),it,45,4
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),end,39,5
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),yourself,28,6
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),method,23,7
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),to,23,8
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),do,22,9
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (No Specific Action),suicidal,19,10
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Least Painful Method),hurt,1,1
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Least Painful Method),least,1,2
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Least Painful Method),method,1,3
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Least Painful Method),the,1,4
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Least Painful Method),will,1,5
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Methods),do,1,1
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Methods),how,1,2
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Methods),it,1,3
"Methods or actions of Suicide, Self Harm or harming others",General Suicidal Ideation (Seeking Methods),to,1,4
"Methods or actions of Suicide, Self Harm or harming others",General research into methods,into,1,1
"Methods or actions of Suicide, Self Harm or harming others",General research into methods,method,1,2
"Methods or actions of Suicide, Self Harm or harming others",General research into methods,research,1,3
"Methods or actions of Suicide, Self Harm or harming others",Genital Removal,completely,1,1
"Methods or actions of Suicide, Self Harm or harming others",Genital Removal,remov,1,2
"Methods or actions of Suicide, Self Harm or harming others",Genital Removal,vagina,1,3
"Methods or actions of Suicide, Self Harm or harming others",Genocide,genocide,2,1
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,my,43,1
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,hair,40,2
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,pull,29,3
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,out,28,4
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,myself,11,5
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,and,10,6
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,of,8,7
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,head,7,8
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,ripp,7,9
"Methods or actions of Suicide, Self Harm or harming others",Hair Pulling,rip,5,10
"Methods or actions of Suicide, Self Harm or harming others",Hanging,myself,13,1
"Methods or actions of Suicide, Self Harm or harming others",Hanging,hang,9,2
"Methods or actions of Suicide, Self Harm or harming others",Hanging,jump,6,3
"Methods or actions of Suicide, Self Harm or harming others",Hanging,from,4,4
"Methods or actions of Suicide, Self Harm or harming others",Hanging,of,4,5
"Methods or actions of Suicide, Self Harm or harming others",Hanging,pill,4,6
"Methods or actions of Suicide, Self Harm or harming others",Hanging,hung,3,7
"Methods or actions of Suicide, Self Harm or harming others",Hanging,my,3,8
"Methods or actions of Suicide, Self Harm or harming others",Hanging,the,3,9
"Methods or actions of Suicide, Self Harm or harming others",Hanging,tree,3,10
"Methods or actions of Suicide, Self Harm or harming others",Harming Others,family,1,1
"Methods or actions of Suicide, Self Harm or harming others",Harming Others,get,1,2
"Methods or actions of Suicide, Self Harm or harming others",Harming Others,their,1,3
"Methods or actions of Suicide, Self Harm or harming others",Head banging,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Head banging,her,1,2
"Methods or actions of Suicide, Self Harm or harming others",Head banging,myself,1,3
"Methods or actions of Suicide, Self Harm or harming others",Head banging,punch,1,4
"Methods or actions of Suicide, Self Harm or harming others",Head banging,suffocate,1,5
"Methods or actions of Suicide, Self Harm or harming others",Head banging,the,1,6
"Methods or actions of Suicide, Self Harm or harming others",Head banging,wall,1,7
"Methods or actions of Suicide, Self Harm or harming others",Hitting,my,363,1
"Methods or actions of Suicide, Self Harm or harming others",Hitting,the,321,2
"Methods or actions of Suicide, Self Harm or harming others",Hitting,punch,243,3
"Methods or actions of Suicide, Self Harm or harming others",Hitting,myself,221,4
"Methods or actions of Suicide, Self Harm or harming others",Hitting,head,180,5
"Methods or actions of Suicide, Self Harm or harming others",Hitting,in,170,6
"Methods or actions of Suicide, Self Harm or harming others",Hitting,me,157,7
"Methods or actions of Suicide, Self Harm or harming others",Hitting,beat,147,8
"Methods or actions of Suicide, Self Harm or harming others",Hitting,and,146,9
"Methods or actions of Suicide, Self Harm or harming others",Hitting,hit,139,10
"Methods or actions of Suicide, Self Harm or harming others",Hitting: Punching,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Hitting: Punching,her,1,2
"Methods or actions of Suicide, Self Harm or harming others",Hitting: Punching,myself,1,3
"Methods or actions of Suicide, Self Harm or harming others",Hitting: Punching,punch,1,4
"Methods or actions of Suicide, Self Harm or harming others",Hitting: Punching,suffocate,1,5
"Methods or actions of Suicide, Self Harm or harming others",Hitting: Punching,the,1,6
"Methods or actions of Suicide, Self Harm or harming others",Hitting: Punching,wall,1,7
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,their,3,1
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,address,1,2
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,broke,1,3
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,by,1,4
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,for,1,5
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,found,1,6
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,house,1,7
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,into,1,8
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,month,1,9
"Methods or actions of Suicide, Self Harm or harming others",Home Invasion,out,1,10
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,the,2,1
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,all,1,2
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,board,1,3
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,classroom,1,4
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,hostage,1,5
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,into,1,6
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,one,1,7
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,people,1,8
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,school,1,9
"Methods or actions of Suicide, Self Harm or harming others",Hostage Taking,tangle,1,10
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,all,1,1
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,and,1,2
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,bathtub,1,3
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,buy,1,4
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,by,1,5
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,hypothermia,1,6
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,ice,1,7
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,in,1,8
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,it,1,9
"Methods or actions of Suicide, Self Harm or harming others",Hypothermia,just,1,10
"Methods or actions of Suicide, Self Harm or harming others",Infiltration,come,1,1
"Methods or actions of Suicide, Self Harm or harming others",Infiltration,into,1,2
"Methods or actions of Suicide, Self Harm or harming others",Infiltration,place,1,3
"Methods or actions of Suicide, Self Harm or harming others",Infiltration,the,1,4
"Methods or actions of Suicide, Self Harm or harming others",Inhalation of Toxic Substances,nail,1,1
"Methods or actions of Suicide, Self Harm or harming others",Inhalation of Toxic Substances,of,1,2
"Methods or actions of Suicide, Self Harm or harming others",Inhalation of Toxic Substances,polish,1,3
"Methods or actions of Suicide, Self Harm or harming others",Inhalation of Toxic Substances,sniff,1,4
"Methods or actions of Suicide, Self Harm or harming others",Injection,arm,1,1
"Methods or actions of Suicide, Self Harm or harming others",Injection,in,1,2
"Methods or actions of Suicide, Self Harm or harming others",Injection,my,1,3
"Methods or actions of Suicide, Self Harm or harming others",Injection,needle,1,4
"Methods or actions of Suicide, Self Harm or harming others",Injection,stick,1,5
"Methods or actions of Suicide, Self Harm or harming others",Jumping,jump,1585,1
"Methods or actions of Suicide, Self Harm or harming others",Jumping,off,932,2
"Methods or actions of Suicide, Self Harm or harming others",Jumping,the,737,3
"Methods or actions of Suicide, Self Harm or harming others",Jumping,of,704,4
"Methods or actions of Suicide, Self Harm or harming others",Jumping,bridge,500,5
"Methods or actions of Suicide, Self Harm or harming others",Jumping,myself,408,6
"Methods or actions of Suicide, Self Harm or harming others",Jumping,in,400,7
"Methods or actions of Suicide, Self Harm or harming others",Jumping,my,399,8
"Methods or actions of Suicide, Self Harm or harming others",Jumping,train,331,9
"Methods or actions of Suicide, Self Harm or harming others",Jumping,build,316,10
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,benadryl,1,2
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,build,1,3
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,climb,1,4
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,drunk,1,5
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,from,1,6
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,get,1,7
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,gram,1,8
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,house,1,9
"Methods or actions of Suicide, Self Harm or harming others",Jumping: From height (building,jump,1,10
"Methods or actions of Suicide, Self Harm or harming others",Mass Killing,kill,2,1
